Filtering the log data using "process == "GestioneViaggi""
Timestamp                       (process)[PID]    
2025-12-23 19:06:03.470007+0200  localhost GestioneViaggi[25402]: (libxpc.dylib) [com.apple.xpc:connection] [0xb44cf08c0] activating connection: mach=true listener=false peer=false name=com.apple.runningboard
2025-12-23 19:06:03.470183+0200  localhost GestioneViaggi[25402]: (BoardServices) [com.apple.BoardServices:XPCErrors] [C:1] Alloc com.apple.frontboard.systemappservices
2025-12-23 19:06:03.470223+0200  localhost GestioneViaggi[25402]: (libxpc.dylib) [com.apple.xpc:connection] [0xb44cf0b40] activating connection: mach=false listener=false peer=false name=(anonymous)
2025-12-23 19:06:03.470278+0200  localhost GestioneViaggi[25402]: (FrontBoardServices) [com.apple.FrontBoard:Common] FBSWorkspace registering source: <private>
2025-12-23 19:06:03.470289+0200  localhost GestioneViaggi[25402]: (RunningBoardServices) Created Activity ID: 0x2b16aa2, Description: didChangeInheritances
2025-12-23 19:06:03.470581+0200  localhost GestioneViaggi[25402]: (RunningBoardServices) [com.apple.runningboard:connection] Handshake succeeded
2025-12-23 19:06:03.470595+0200  localhost GestioneViaggi[25402]: (RunningBoardServices) [com.apple.runningboard:connection] Identity resolved as app<application.com.adrianovisconti.gestioneviaggi.224739392.224743458(501)>
2025-12-23 19:06:03.470876+0200  localhost GestioneViaggi[25402]: (FrontBoardServices) [com.apple.FrontBoard:Common] FBSWorkspace connected to endpoint : <private>
2025-12-23 19:06:03.470998+0200  localhost GestioneViaggi[25402]: (FrontBoardServices) [com.apple.FrontBoard:Common] <FBSWorkspaceScenesClient:0xb45474be0 <private>> attempting immediate handshake from activate
2025-12-23 19:06:03.471031+0200  localhost GestioneViaggi[25402]: (FrontBoardServices) [com.apple.FrontBoard:Common] <FBSWorkspaceScenesClient:0xb45474be0 <private>> sent handshake
2025-12-23 19:06:03.473098+0200  localhost GestioneViaggi[25402]: (libxpc.dylib) [com.apple.xpc:connection] [0xb44cf0640] Connection returned listener port: 0x4a03
2025-12-23 19:06:03.474970+0200  localhost GestioneViaggi[25402]: (libxpc.dylib) [com.apple.xpc:connection] [0xb44cf0640] Connection returned listener port: 0x4a03
2025-12-23 19:06:03.476071+0200  localhost GestioneViaggi[25402]: (CoreFoundation) Created Activity ID: 0x2b16aa3, Description: Loading Preferences From User CFPrefsD
2025-12-23 19:06:03.475878+0200  localhost GestioneViaggi[25402]: (AppIntents) [com.apple.appintents:Connection] Created a new Process Instance Registry XPC connection (inactive)
2025-12-23 19:06:03.476176+0200  localhost GestioneViaggi[25402]: (libxpc.dylib) [com.apple.xpc:connection] [0xb44cf0c80] activating connection: mach=true listener=false peer=false name=com.apple.linkd.autoShortcut
2025-12-23 19:06:03.476259+0200  localhost GestioneViaggi[25402]: (AppIntents) [com.apple.appintents:Connection] Activated connection to com.apple.linkd.autoShortcut (ApplicationService)
2025-12-23 19:06:03.476291+0200  localhost GestioneViaggi[25402]: (libxpc.dylib) [com.apple.xpc:connection] [0xb44cf0dc0] activating connection: mach=false listener=true peer=false name=(anonymous)
2025-12-23 19:06:03.476590+0200  localhost GestioneViaggi[25402]: (libxpc.dylib) [com.apple.xpc:connection] [0xb44cf0dc0] Connection returned listener port: 0x8d03
2025-12-23 19:06:03.476672+0200  localhost GestioneViaggi[25402]: (UIKitCore) [com.apple.UIKit:Application] Deactivation reason added: 10; deactivation reasons: 0 -> 1024; animating application lifecycle event: 0
2025-12-23 19:06:03.476713+0200  localhost GestioneViaggi[25402]: (BoardServices) [com.apple.BoardServices:Injection] activating monitor for service com.apple.frontboard.open
2025-12-23 19:06:03.477043+0200  localhost GestioneViaggi[25402]: (AppIntents) [com.apple.appintents:Connection] Registered process with identifier 25402-1877664
2025-12-23 19:06:03.476725+0200  localhost GestioneViaggi[25402]: (UIKitCore) [com.apple.UIKit:BackgroundTask] Creating new assertion because there is no existing background assertion.
2025-12-23 19:06:03.477158+0200  localhost GestioneViaggi[25402]: (UIKitCore) [com.apple.UIKit:BackgroundTask] Creating new background assertion
2025-12-23 19:06:03.477162+0200  localhost GestioneViaggi[25402]: (libxpc.dylib) [com.apple.xpc:connection] [0xb44cf0640] Connection returned listener port: 0x4a03
2025-12-23 19:06:03.477189+0200  localhost GestioneViaggi[25402]: (UIKitCore) [com.apple.UIKit:BackgroundTask] Created new background assertion <BKSProcessAssertion: 0xb454a85f0>
2025-12-23 19:06:03.477449+0200  localhost GestioneViaggi[25402]: (UIKitCore) [com.apple.UIKit:BackgroundTask] Incrementing reference count for background assertion <private>
2025-12-23 19:06:03.477477+0200  localhost GestioneViaggi[25402]: (UIKitCore) [com.apple.UIKit:BackgroundTask] Created background task <private>.
2025-12-23 19:06:03.477529+0200  localhost GestioneViaggi[25402]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UIApplicationSceneKeyboardSettings on FBSSceneSettings
2025-12-23 19:06:03.477789+0200  localhost GestioneViaggi[25402]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension ___UISceneOcclusionSettings__ on FBSSceneSettings
2025-12-23 19:06:03.477864+0200  localhost GestioneViaggi[25402]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneLayoutPreferencesHostSettingsExtension on FBSSceneSettings
2025-12-23 19:06:03.477921+0200  localhost GestioneViaggi[25402]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneSafeAreaSettingsExtension on FBSSceneSettings
2025-12-23 19:06:03.478077+0200  localhost GestioneViaggi[25402]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneLayoutPreferenceClientSettingsExtension on FBSSceneClientSettings
2025-12-23 19:06:03.477654+0200  localhost GestioneViaggi[25402]: (UIKitMacHelper) [com.apple.UIKit.MacHelper:Lifecycle] <Running> stateEntry_InAction called
2025-12-23 19:06:03.478199+0200  localhost GestioneViaggi[25402]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISystemShellSceneHostingEnvironmentSettings on FBSSceneSettings
2025-12-23 19:06:03.478213+0200  localhost GestioneViaggi[25402]: (UIKitMacHelper) [com.apple.UIKit.MacHelper:Lifecycle] @ stopWindowOrderBatchingIfNecessary_OutAction (state: Running)
2025-12-23 19:06:03.478268+0200  localhost GestioneViaggi[25402]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneRenderingEnvironmentSettings on FBSSceneSettings
2025-12-23 19:06:03.478373+0200  localhost GestioneViaggi[25402]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension ___UISceneRenderingEnvironmentClientSettings__ on FBSSceneClientSettings
2025-12-23 19:06:03.478433+0200  localhost GestioneViaggi[25402]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension ___UISceneTransitioningHostSettings__ on FBSSceneSettings
2025-12-23 19:06:03.478487+0200  localhost GestioneViaggi[25402]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension ___UISceneFocusSystemSettings__ on FBSSceneSettings
2025-12-23 19:06:03.478527+0200  localhost GestioneViaggi[25402]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UIFBSSceneCatalystSettingsExtension on FBSSceneSettings
2025-12-23 19:06:03.478568+0200  localhost GestioneViaggi[25402]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneOrientationSettingsExtension on FBSSceneSettings
2025-12-23 19:06:03.478610+0200  localhost GestioneViaggi[25402]: (FrontBoardServices) [com.apple.FrontBoard:SceneExtension] Realizing settings extension _UISceneOrientationClientSettingsExtension on FBSSceneClientSettings
